State;Nameplate Capacity (MW);Net Generation (MWh);Coal;Oil;Gas;Other Fossil;Nuclear;Hydro;Biomass;Wind;Solar;Geo- thermal;Other
AL;40,373;136,842,032;15.8%;0.0%;40.0%;0.0%;31.8%;9.8%;2.4%;0.0%;0.3%;0.0%;0.0%
AR;20,268;54,641,259;28.2%;0.1%;33.5%;0.0%;27.6%;8.4%;1.7%;0.0%;0.5%;0.0%;0.0%
AZ;42,863;109,305,057;12.6%;0.0%;46.5%;0.0%;28.9%;5.9%;0.2%;0.6%;5.3%;0.0%;0.0%
CA;118,351;192,954,153;0.2%;0.0%;47.7%;0.8%;8.4%;11.0%;3.0%;7.0%;15.7%;5.9%;0.3%
CO;23,545;53,792,187;36.1%;0.0%;33.1%;0.0%;0.0%;2.8%;0.3%;24.8%;2.8%;0.0%;0.1%
CT;13,060;41,190,572;0.0%;0.1%;57.1%;0.0%;38.1%;0.8%;3.3%;0.0%;0.5%;0.0%;0.0%
DC;53;174,521;0.0%;0.0%;61.3%;0.0%;0.0%;0.0%;31.4%;0.0%;7.3%;0.0%;0.0%
DE;4,180;5,205,372;2.0%;0.2%;92.6%;2.8%;0.0%;0.0%;1.4%;0.1%;1.0%;0.0%;0.0%
FL;108,916;250,780,435;6.6%;0.7%;75.5%;0.0%;11.7%;0.1%;2.2%;0.0%;2.6%;0.0%;0.5%
GA;53,810;119,593,376;11.6%;0.2%;49.0%;0.1%;27.4%;3.6%;4.9%;0.0%;3.2%;0.0%;0.0%
HI;4,137;9,069,240;12.8%;67.8%;0.0%;0.0%;0.0%;1.1%;5.0%;6.4%;5.3%;0.1%;1.3%
IA;27,338;59,636,672;23.7%;0.2%;11.8%;0.0%;4.9%;1.7%;0.3%;57.3%;0.0%;0.0%;0.0%
ID;6,215;17,674,572;0.1%;0.0%;23.5%;0.0%;0.0%;53.8%;2.9%;15.7%;3.2%;0.5%;0.3%
IL;68,479;173,337,706;18.0%;0.0%;14.1%;0.2%;57.8%;0.1%;0.2%;9.4%;0.0%;0.0%;0.1%
IN;43,027;90,072,288;53.0%;0.1%;35.6%;2.5%;0.0%;0.3%;0.5%;7.0%;0.4%;0.0%;0.5%
KS;22,702;54,541,831;31.1%;0.1%;5.1%;0.0%;19.4%;0.1%;0.1%;43.9%;0.1%;0.0%;0.0%
KY;30,297;63,513,834;68.7%;0.1%;22.6%;0.1%;0.0%;7.9%;0.5%;0.0%;0.1%;0.0%;0.0%
LA;37,167;100,554,705;3.7%;3.4%;70.4%;1.7%;16.9%;1.2%;2.1%;0.0%;0.0%;0.0%;0.6%
MA;19,622;18,195,165;0.0%;0.2%;77.9%;0.0%;0.0%;2.4%;10.5%;1.3%;7.7%;0.0%;0.0%
MD;18,108;35,998,333;9.3%;0.2%;39.1%;0.0%;41.9%;4.7%;1.8%;1.5%;1.5%;0.0%;0.0%
ME;6,020;10,001,870;0.6%;0.4%;19.0%;1.4%;0.0%;31.6%;21.8%;23.9%;0.3%;0.0%;1.0%
MI;42,473;106,624,721;26.2%;0.9%;34.2%;1.0%;28.4%;0.8%;2.0%;6.3%;0.1%;0.0%;0.0%
MN;23,774;56,500,627;24.8%;0.1%;20.9%;0.0%;26.0%;1.8%;2.5%;20.9%;2.9%;0.0%;0.1%
MO;26,365;71,871,122;71.2%;0.1%;10.3%;0.0%;10.8%;2.6%;0.2%;4.7%;0.1%;0.0%;0.0%
MS;20,190;66,499,288;6.9%;0.0%;80.6%;0.0%;9.7%;0.0%;2.1%;0.0%;0.6%;0.0%;0.0%
MT;8,784;23,353,290;36.4%;2.0%;1.2%;0.1%;0.0%;46.0%;0.1%;13.1%;0.1%;0.0%;1.0%
NC;51,418;124,334,265;16.7%;0.1%;33.3%;0.2%;34.0%;6.4%;2.0%;0.4%;6.6%;0.0%;0.2%
ND;10,710;42,176,424;58.1%;0.1%;3.5%;0.1%;0.0%;5.8%;0.0%;32.3%;0.0%;0.0%;0.1%
NE;13,135;36,756,239;50.9%;0.0%;3.3%;0.0%;16.8%;3.8%;0.2%;24.8%;0.1%;0.0%;0.0%
NH;4,877;16,340,973;0.8%;0.3%;22.3%;0.0%;60.4%;7.5%;5.6%;3.2%;0.0%;0.0%;0.0%
NJ;28,091;61,106,458;1.5%;0.1%;50.0%;0.3%;43.7%;0.0%;2.1%;0.0%;2.1%;0.0%;0.0%
NM;17,004;34,005,839;37.6%;0.1%;35.1%;0.0%;0.0%;0.6%;0.1%;21.2%;5.1%;0.2%;0.0%
NV;25,204;40,335,220;4.8%;0.0%;66.3%;0.0%;0.0%;4.8%;0.1%;0.7%;13.7%;9.4%;0.1%
NY;55,721;129,411,955;0.1%;0.3%;40.9%;0.0%;29.7%;22.6%;2.3%;3.5%;0.6%;0.0%;0.0%
OH;49,068;120,992,733;37.2%;1.0%;43.3%;0.6%;15.1%;0.3%;0.6%;1.9%;0.1%;0.0%;0.0%
OK;39,030;82,297,831;7.2%;0.0%;53.2%;0.0%;0.0%;3.3%;0.4%;35.7%;0.1%;0.0%;0.0%
OR;20,755;63,624,782;2.6%;0.0%;29.9%;0.0%;0.0%;50.2%;1.6%;13.8%;1.7%;0.3%;0.0%
PA;69,417;230,134,953;10.2%;0.0%;52.5%;0.3%;33.2%;0.9%;1.2%;1.6%;0.1%;0.0%;0.0%
PR;6,449;18,215,878;16.8%;49.9%;30.9%;0.0%;0.0%;0.0%;0.0%;0.8%;1.6%;0.0%;0.0%
RI;2,709;8,893,740;0.0%;0.1%;93.0%;0.0%;0.0%;0.0%;2.3%;2.4%;2.2%;0.0%;0.0%
SC;33,945;98,528,797;12.6%;0.1%;24.6%;0.0%;55.6%;3.2%;2.1%;0.0%;1.7%;0.0%;0.0%
SD;6,907;14,146,526;11.7%;0.1%;7.8%;0.0%;0.0%;41.2%;0.1%;39.2%;0.0%;0.0%;0.0%
TN;28,492;80,566,010;17.7%;0.1%;19.4%;0.0%;45.5%;15.8%;0.9%;0.0%;0.4%;0.0%;0.0%
TX;209,808;473,366,237;16.7%;0.0%;52.1%;0.6%;8.8%;0.2%;0.3%;19.5%;1.8%;0.0%;0.1%
UT;13,125;37,087,309;61.5%;0.1%;25.5%;0.0%;0.0%;2.2%;0.2%;2.2%;6.9%;1.0%;0.3%
VA;41,415;102,799,856;3.7%;0.2%;60.7%;0.0%;29.3%;0.9%;3.9%;0.0%;1.3%;0.0%;0.0%
VT;946;2,154,918;0.0%;0.1%;0.1%;0.0%;0.0%;52.4%;21.3%;17.8%;8.4%;0.0%;0.0%
WA;34,732;116,079,174;4.5%;0.0%;12.1%;0.3%;8.1%;65.8%;1.3%;8.0%;0.0%;0.0%;0.0%
WI;23,176;61,440,538;38.7%;0.2%;35.8%;0.0%;15.9%;4.5%;1.9%;2.9%;0.1%;0.0%;0.0%
WV;20,873;56,661,533;88.6%;0.3%;4.9%;0.1%;0.0%;2.8%;0.0%;3.3%;0.0%;0.0%;0.0%
WY;15,534;42,010,990;79.4%;0.1%;3.3%;0.9%;0.0%;2.6%;0.0%;13.1%;0.4%;0.0%;0.2%
U.S.;1,656,188;4,021,549,453;19.3%;0.7%;40.5%;0.3%;19.6%;7.0%;1.5%;8.4%;2.2%;0.4%;0.1%
